rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
121,frame_0205.jpg,82.0,0.4281,0.4682,0.1667,0.72,2,1,False,False
122,frame_0009.jpg,3.6,0.428,0.356,0.1667,1.0,2,1,False,False
123,frame_0287.jpg,114.8,0.4277,0.3834,0.3333,0.68,5,2,False,False
124,frame_0390.jpg,156.0,0.4267,0.5215,0.5,0.08,8,3,False,False
125,frame_0088.jpg,35.2,0.4217,0.4674,0.3333,0.44,4,2,False,False
126,frame_0006.jpg,2.4,0.4212,0.3423,0.1667,1.0,3,1,False,False
127,frame_0315.jpg,126.0,0.4207,0.4933,0.5,0.12,7,3,False,False
128,frame_0173.jpg,69.2,0.4203,0.4966,0.3333,0.36,5,2,False,False
129,frame_0111.jpg,44.4,0.4175,0.6709,0.1667,0.16,2,1,False,False
130,frame_0176.jpg,70.4,0.4175,0.439,0.5,0.24,6,3,False,False
131,frame_0221.jpg,88.4,0.4168,0.4377,0.5,0.24,3,3,False,False
132,frame_0080.jpg,32.0,0.4156,0.3272,0.3333,0.76,6,2,False,False
133,frame_0367.jpg,146.8,0.415,0.398,0.6667,0.08,8,4,False,False
134,frame_0121.jpg,48.4,0.4131,0.5021,0.1667,0.56,4,1,False,False
135,frame_0218.jpg,87.2,0.413,0.582,0.1667,0.36,3,1,False,False
136,frame_0320.jpg,128.0,0.4123,0.4286,0.5,0.24,6,3,False,False
137,frame_0120.jpg,48.0,0.4118,0.4156,0.3333,0.52,4,2,False,False
138,frame_0005.jpg,2.0,0.4109,0.3217,0.1667,1.0,4,1,False,False
139,frame_0328.jpg,131.2,0.4108,0.4896,0.5,0.08,9,3,False,False
140,frame_0167.jpg,66.8,0.41,0.48,0.1667,0.6,5,1,False,False
141,frame_0319.jpg,127.6,0.4098,0.4076,0.5,0.28,8,3,False,False
142,frame_0378.jpg,151.2,0.4072,0.4824,0.5,0.08,9,3,False,False
143,frame_0125.jpg,50.0,0.4055,0.323,0.3333,0.72,5,2,False,False
144,frame_0100.jpg,40.0,0.4049,0.4938,0.5,0.04,5,3,False,False
145,frame_0019.jpg,7.6,0.3999,0.2997,0.1667,1.0,3,1,False,False
146,frame_0289.jpg,115.6,0.3999,0.3957,0.1667,0.76,5,1,False,False
147,frame_0398.jpg,159.2,0.3997,0.5034,0.3333,0.24,7,2,False,False
148,frame_0219.jpg,87.6,0.3972,0.4665,0.3333,0.32,3,2,False,False
149,frame_0308.jpg,123.2,0.394,0.424,0.5,0.16,5,3,False,False
150,frame_0383.jpg,153.2,0.3938,0.4396,0.5,0.12,6,3,False,False
151,frame_0229.jpg,91.6,0.3936,0.4552,0.5,0.08,9,3,False,False
152,frame_0303.jpg,121.2,0.3934,0.4429,0.3333,0.36,5,2,False,False
153,frame_0396.jpg,158.4,0.3922,0.5205,0.3333,0.16,7,2,False,False
154,frame_0300.jpg,120.0,0.3872,0.3825,0.3333,0.48,5,2,False,False
155,frame_0381.jpg,152.4,0.3865,0.457,0.5,0.04,6,3,False,False
156,frame_0297.jpg,118.8,0.3864,0.3329,0.3333,0.6,5,2,False,False
157,frame_0083.jpg,33.2,0.3861,0.3163,0.3333,0.64,3,2,False,False
158,frame_0076.jpg,30.4,0.3815,0.295,0.1667,0.92,5,1,False,False
159,frame_0093.jpg,37.2,0.3813,0.5666,0.1667,0.24,1,1,False,False
160,frame_0081.jpg,32.4,0.3805,0.2731,0.3333,0.72,4,2,False,False
161,frame_0132.jpg,52.8,0.378,0.3561,0.0,1.0,4,0,False,False
162,frame_0207.jpg,82.8,0.3772,0.3343,0.1667,0.8,2,1,False,False
163,frame_0224.jpg,89.6,0.3756,0.6032,0.1667,0.12,4,1,False,False
164,frame_0108.jpg,43.2,0.375,0.4341,0.5,0.04,4,3,False,False
165,frame_0299.jpg,119.6,0.3736,0.4392,0.1667,0.52,4,1,False,False
166,frame_0368.jpg,147.2,0.3734,0.4307,0.5,0.04,7,3,False,False
167,frame_0271.jpg,108.4,0.3733,0.5307,0.3333,0.04,3,2,False,False
168,frame_0285.jpg,114.0,0.3732,0.4063,0.1667,0.6,5,1,False,False
169,frame_0011.jpg,4.4,0.3727,0.2454,0.1667,1.0,3,1,False,False
170,frame_0104.jpg,41.6,0.3718,0.3955,0.5,0.12,5,3,False,False
171,frame_0103.jpg,41.2,0.3716,0.3791,0.5,0.16,4,3,False,False
172,frame_0179.jpg,71.6,0.3711,0.3943,0.5,0.12,6,3,False,False
173,frame_0022.jpg,8.8,0.3687,0.2373,0.1667,1.0,3,1,False,False
174,frame_0268.jpg,107.2,0.3673,0.4026,0.5,0.08,6,3,False,False
175,frame_0106.jpg,42.4,0.3669,0.5178,0.3333,0.04,6,2,False,False
176,frame_0177.jpg,70.8,0.3655,0.4511,0.3333,0.2,5,2,False,False
177,frame_0185.jpg,74.0,0.3654,0.4989,0.3333,0.08,7,2,False,False
178,frame_0090.jpg,36.0,0.3641,0.4841,0.1667,0.36,4,1,False,False
